Name;WMC;DIT;NOCC;CBO;RFC;LCOM;WMC*;NOM;MPC;DAC;SIZE1;SIZE2;DSC;NOH;ANA;DAM;DCC;CAMC;MOA;MFA;NOP;CIS;NOM;Reusability;Flexibility;Understandability;Functionality;Extendibility;Effectiveness;FanIn
teammates.ui.webapi.GetCourseSectionNamesAction;3.0;2;0;6.0;11.0;3.0;0.75;3.0;6;0;21;3;1.0;0;1.0;-1000;6.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.SendEmailWorkerAction;1.0;2;0;7.0;6.0;0.0;1.0;1.0;4;0;11;1;1.0;0;1.0;-1000;7.0;-1000;0.0;0.9722222;0.0;1.0;1.0;0.75;-0.25;-1.6500000000000001;0.32;0.9861111044883728;0.19444444179534914;0
teammates.ui.webapi.CompileLogsAction;2.0;2;0;5.0;9.0;1.0;1.0;2.0;5;0;13;2;1.0;0;1.0;-1000;5.0;0.5;0.0;0.9459459;0.0;1.0;2.0;1.125;-0.25;-1.485;0.5;0.972972959280014;0.18918918371200563;0
teammates.ui.webapi.GetStudentProfilePictureAction;3.0;2;0;10.0;17.0;3.0;2.5;3.0;18;0;53;4;1.0;0;1.0;1.0;10.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;0.25;-1.6500000000000001;0.32;0.9583333432674408;0.5833333373069763;0
teammates.ui.webapi.GetFeedbackQuestionRecipientsAction;3.0;3;0;10.0;21.0;3.0;2.5;3.0;26;0;56;3;1.0;0;1.0;-1000;10.0;-1000;0.0;0.93333334;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9666666686534882;0.18666666746139526;0
teammates.ui.webapi.FeedbackSessionClosedRemindersAction;1.0;2;0;9.0;13.0;0.0;0.5;1.0;11;1;21;2;1.0;0;1.0;1.0;9.0;-1000;1.0;0.9722222;0.0;1.0;1.0;0.75;0.75;-0.99;0.32;0.9861111044883728;0.7944444417953492;0
teammates.ui.webapi.GetUserCookieAction;3.0;2;0;6.0;9.0;3.0;0.75;3.0;3;0;14;3;1.0;0;1.0;-1000;6.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.DeleteInstructorAction;4.0;2;0;8.0;22.0;6.0;2.200000047683716;4.0;21;0;69;4;1.0;0;1.0;-1000;8.0;0.25;0.0;0.8918919;0.0;1.0;4.0;1.0625;-0.25;-2.2275;0.47;0.9459459483623505;0.1783783793449402;0
teammates.ui.webapi.SessionLinksRecoveryAction;3.0;2;0;8.0;13.0;3.0;1.5;3.0;7;0;34;3;1.0;0;1.0;-1000;8.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.FeedbackSessionClosingRemindersAction;1.0;2;0;9.0;13.0;0.0;0.5;1.0;11;1;21;2;1.0;0;1.0;1.0;9.0;-1000;1.0;0.9722222;0.0;1.0;1.0;0.75;0.75;-0.99;0.32;0.9861111044883728;0.7944444417953492;0
teammates.ui.webapi.CreateAccountAction;5.0;2;0;19.0;52.0;10.0;1.1666666269302368;5.0;51;1;96;6;1.0;0;1.0;1.0;19.0;0.5;1.0;0.875;0.0;1.0;5.0;1.125;0.75;-1.8150000000000002;0.5;0.9375;0.7750000000000001;0
teammates.ui.webapi.JsonResult;3.0;2;0;96.0;0.0;0.0;0.0;3.0;0;0;0;0;1.0;0;1.0;1.0;0.0;0.0;0.0;0.8125;0.0;1.0;3.0;1.0;0.25;-1.32;0.44;0.90625;0.5625;96
teammates.ui.webapi.GetInstructorAction;3.0;3;0;12.0;17.0;3.0;3.25;3.0;17;0;59;3;1.0;0;1.0;-1000;12.0;-1000;0.0;0.93333334;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9666666686534882;0.18666666746139526;0
teammates.ui.webapi.FeedbackSessionPublishedEmailWorkerAction;1.0;2;0;9.0;14.0;0.0;1.0;1.0;13;1;25;2;1.0;0;1.0;1.0;9.0;-1000;1.0;0.9722222;0.0;1.0;1.0;0.75;0.75;-0.99;0.32;0.9861111044883728;0.7944444417953492;0
teammates.ui.webapi.FeedbackSessionOpeningRemindersAction;1.0;2;0;9.0;13.0;0.0;0.5;1.0;11;1;21;2;1.0;0;1.0;1.0;9.0;-1000;1.0;0.9722222;0.0;1.0;1.0;0.75;0.75;-0.99;0.32;0.9861111044883728;0.7944444417953492;0
teammates.ui.webapi.ResetAccountAction;1.0;2;0;8.0;18.0;0.0;4.0;1.0;18;0;50;1;1.0;0;1.0;-1000;8.0;-1000;0.0;0.9722222;0.0;1.0;1.0;0.75;-0.25;-1.6500000000000001;0.32;0.9861111044883728;0.19444444179534914;0
teammates.ui.webapi.UpdateInstructorAction;4.0;2;0;16.0;53.0;6.0;1.600000023841858;4.0;66;0;91;4;1.0;0;1.0;-1000;16.0;0.25;0.0;0.8918919;0.0;1.0;4.0;1.0625;-0.25;-2.2275;0.47;0.9459459483623505;0.1783783793449402;0
